speech_id,macro_topic
SP_00000,Macro-Topic 7
SP_00001,Macro-Topic 6
SP_00002,Procedural Noise
SP_00003,Macro-Topic 10
SP_00004,Macro-Topic 10
SP_00005,Macro-Topic 10
SP_00006,Procedural Noise
SP_00007,Procedural Noise
SP_00008,Macro-Topic 3
SP_00009,Macro-Topic 11
SP_00010,Macro-Topic 5
SP_00011,Macro-Topic 5
SP_00012,Macro-Topic 5
SP_00013,Macro-Topic 10
SP_00014,Procedural Noise
SP_00015,Macro-Topic 25
SP_00016,Macro-Topic 10
SP_00017,Procedural Noise
SP_00018,Procedural Noise
SP_00019,Procedural Noise
SP_00020,Macro-Topic 6
SP_00021,Macro-Topic 6
SP_00022,Macro-Topic 6
SP_00023,Macro-Topic 6
SP_00024,Macro-Topic 6
SP_00025,Macro-Topic 6
SP_00026,Macro-Topic 6
SP_00027,Macro-Topic 6
SP_00028,Macro-Topic 6
SP_00029,Macro-Topic 9
SP_00030,Procedural Noise
SP_00031,Macro-Topic 7
SP_00032,Macro-Topic 7
SP_00033,Macro-Topic 6
SP_00034,Macro-Topic 6
SP_00035,Macro-Topic 6
SP_00036,Macro-Topic 6
SP_00037,Macro-Topic 6
SP_00038,Macro-Topic 6
SP_00039,Macro-Topic 6
SP_00040,Macro-Topic 6
SP_00041,Procedural Noise
SP_00042,Macro-Topic 9
SP_00043,Procedural Noise
SP_00044,Macro-Topic 11
SP_00045,Macro-Topic 11
SP_00046,Macro-Topic 10
SP_00047,Macro-Topic 5
SP_00048,Macro-Topic 10
SP_00049,Macro-Topic 10
SP_00050,Macro-Topic 5
SP_00051,Macro-Topic 5
SP_00052,Macro-Topic 10
SP_00053,Macro-Topic 10
SP_00054,Macro-Topic 6
SP_00055,Macro-Topic 10
SP_00056,Procedural Noise
SP_00057,Macro-Topic 10
SP_00058,Procedural Noise
SP_00059,Procedural Noise
SP_00060,Procedural Noise
SP_00061,Procedural Noise
SP_00062,Procedural Noise
SP_00063,Procedural Noise
SP_00064,Procedural Noise
SP_00065,Procedural Noise
SP_00066,Macro-Topic 7
SP_00067,Procedural Noise
SP_00068,Procedural Noise
SP_00069,Macro-Topic 22
SP_00070,Macro-Topic 7
SP_00071,Procedural Noise
SP_00072,Procedural Noise
SP_00073,Macro-Topic 22
SP_00074,Macro-Topic 23
SP_00075,Procedural Noise
SP_00076,Procedural Noise
SP_00077,Macro-Topic 2
SP_00078,Procedural Noise
SP_00079,Procedural Noise
SP_00080,Procedural Noise
SP_00081,Procedural Noise
SP_00082,Macro-Topic 2
SP_00083,Macro-Topic 4
SP_00084,Procedural Noise
SP_00085,Procedural Noise
SP_00086,Procedural Noise
SP_00087,Macro-Topic 2
SP_00088,Procedural Noise
SP_00089,Procedural Noise
SP_00090,Macro-Topic 22
SP_00091,Macro-Topic 23
SP_00092,Macro-Topic 22
SP_00093,Procedural Noise
SP_00094,Macro-Topic 23
SP_00095,Macro-Topic 23
SP_00096,Procedural Noise
SP_00097,Macro-Topic 22
SP_00098,Procedural Noise
SP_00099,Procedural Noise
SP_00100,Procedural Noise
SP_00101,Procedural Noise
SP_00102,Procedural Noise
SP_00103,Procedural Noise
SP_00104,Procedural Noise
SP_00105,Procedural Noise
SP_00106,Procedural Noise
SP_00107,Procedural Noise
SP_00108,Macro-Topic 6
SP_00109,Macro-Topic 6
SP_00110,Macro-Topic 11
SP_00111,Macro-Topic 11
SP_00112,Macro-Topic 1
SP_00113,Procedural Noise
SP_00114,Macro-Topic 6
SP_00115,Macro-Topic 5
SP_00116,Macro-Topic 27
SP_00117,Macro-Topic 19
SP_00118,Macro-Topic 19
SP_00119,Macro-Topic 23
SP_00120,Procedural Noise
SP_00121,Procedural Noise
SP_00122,Macro-Topic 3
SP_00123,Macro-Topic 3
SP_00124,Macro-Topic 14
SP_00125,Procedural Noise
SP_00126,Macro-Topic 14
SP_00127,Macro-Topic 0
SP_00128,Macro-Topic 13
SP_00129,Macro-Topic 8
SP_00130,Procedural Noise
SP_00131,Procedural Noise
SP_00132,Procedural Noise
SP_00133,Procedural Noise
SP_00134,Procedural Noise
SP_00135,Procedural Noise
SP_00136,Procedural Noise
SP_00137,Procedural Noise
SP_00138,Procedural Noise
SP_00139,Procedural Noise
SP_00140,Procedural Noise
SP_00141,Procedural Noise
SP_00142,Macro-Topic 0
SP_00143,Macro-Topic 18
SP_00144,Macro-Topic 14
SP_00145,Macro-Topic 2
SP_00146,Macro-Topic 1
SP_00147,Macro-Topic 2
SP_00148,Macro-Topic 14
SP_00149,Macro-Topic 14
SP_00150,Macro-Topic 14
SP_00151,Macro-Topic 14
SP_00152,Macro-Topic 14
SP_00153,Macro-Topic 2
SP_00154,Macro-Topic 2
SP_00155,Procedural Noise
SP_00156,Procedural Noise
SP_00157,Procedural Noise
SP_00158,Macro-Topic 1
SP_00159,Macro-Topic 7
SP_00160,Macro-Topic 22
SP_00161,Macro-Topic 3
SP_00162,Macro-Topic 1
SP_00163,Procedural Noise
SP_00164,Macro-Topic 5
SP_00165,Macro-Topic 14
SP_00166,Macro-Topic 5
SP_00167,Procedural Noise
SP_00168,Procedural Noise
SP_00169,Macro-Topic 1
SP_00170,Macro-Topic 4
SP_00171,Procedural Noise
SP_00172,Procedural Noise
SP_00173,Macro-Topic 26
SP_00174,Procedural Noise
SP_00175,Procedural Noise
SP_00176,Procedural Noise
SP_00177,Procedural Noise
SP_00178,Procedural Noise
SP_00179,Macro-Topic 14
SP_00180,Procedural Noise
SP_00181,Procedural Noise
SP_00182,Procedural Noise
SP_00183,Procedural Noise
SP_00184,Procedural Noise
SP_00185,Procedural Noise
SP_00186,Macro-Topic 5
SP_00187,Macro-Topic 29
SP_00188,Macro-Topic 29
SP_00189,Macro-Topic 6
SP_00190,Procedural Noise
SP_00191,Procedural Noise
SP_00192,Macro-Topic 0
SP_00193,Macro-Topic 13
SP_00194,Macro-Topic 13
SP_00195,Macro-Topic 0
SP_00196,Procedural Noise
SP_00197,Macro-Topic 6
SP_00198,Macro-Topic 6
SP_00199,Macro-Topic 6
SP_00200,Macro-Topic 6
SP_00201,Macro-Topic 6
SP_00202,Macro-Topic 6
SP_00203,Procedural Noise
SP_00204,Macro-Topic 0
SP_00205,Macro-Topic 1
SP_00206,Procedural Noise
SP_00207,Macro-Topic 3
SP_00208,Procedural Noise
SP_00209,Macro-Topic 3
SP_00210,Macro-Topic 1
SP_00211,Macro-Topic 8
SP_00212,Procedural Noise
SP_00213,Procedural Noise
SP_00214,Procedural Noise
SP_00215,Procedural Noise
SP_00216,Macro-Topic 23
SP_00217,Procedural Noise
SP_00218,Procedural Noise
SP_00219,Macro-Topic 13
SP_00220,Procedural Noise
SP_00221,Procedural Noise
SP_00222,Macro-Topic 24
SP_00223,Macro-Topic 19
SP_00224,Procedural Noise
SP_00225,Macro-Topic 22
SP_00226,Macro-Topic 22
