speech_id,date,year,speaker,hdbscan_cluster,kmeans_cluster,agglomerative_cluster
SP_00000,2017-01-09,2017.0,ගරු ලක්ෂ්මන් කිරිඇල්ල,101,132,37
SP_00001,2017-01-09,2017.0,ගරු ලක්ෂ්මන් කිරිඇල්ල,209,87,13
SP_00002,2017-01-09,2017.0,ගරු ගයන්ත කරුණාතිලක,-1,255,13
SP_00003,2017-01-09,2017.0,ගරු ගයන්ත කරුණාතිලක,208,255,13
SP_00004,2017-01-09,2017.0,ගරු ගයන්ත කරුණාතිලක,208,255,13
SP_00005,2017-01-09,2017.0,ගරු ගයන්ත කරුණාතිලක,208,255,13
SP_00006,2017-01-09,2017.0,ගරු බුද්ධික පතිරණ මහතා,-1,174,236
SP_00007,2017-01-09,2017.0,ගරු සී. බී. රත්නායක මහතා,-1,291,37
SP_00008,2017-01-09,2017.0,ගරු අනුර දිසානායක,118,27,99
SP_00009,2017-01-09,2017.0,ගරු වාසුදේව නානායක්කාර,92,10,247
SP_00010,2017-01-09,2017.0,ගරු ඉන්දික අනුරුද්ධ ෙහේරත් මහතා,130,237,331
SP_00011,2017-01-09,2017.0,ගරු එස්. බී. දිසානායක මහතා,130,237,331
SP_00012,2017-01-09,2017.0,ගරු ඉන්දික අනුරුද්ධ ෙහේරත් මහතා,130,237,331
SP_00013,2017-01-24,2017.0,ගරු ලක්ෂ්මන් කිරිඇල්ල,9,217,42
SP_00014,2017-01-24,2017.0,ගරු රාජවනරෝදියම් සම්පන්දන් මහතා,-1,174,236
SP_00015,2017-01-24,2017.0,ගරු කබීර් හාෂීම් මහතා,22,9,185
SP_00016,2017-01-24,2017.0,ගරු (ආචාර්‌ය) හර්ෂ ද සිල්වා මහතා,9,217,42
SP_00017,2017-01-24,2017.0,ගරු බන්දුල ගුණවර්ධන,-1,200,168
SP_00018,2017-01-24,2017.0,ගරු සී. බී. රත්නායක මහතා,-1,174,236
SP_00019,2017-01-24,2017.0,ගරු නිවරෝෂන් පෙරේරා මහතා,-1,310,80
SP_00020,2017-01-24,2017.0,ගරු රන්ජන් රාමනායක මහතා,215,174,236
SP_00021,2017-01-24,2017.0,ගරු අනුර දිසානායක,215,174,236
SP_00022,2017-01-24,2017.0,ගරු සුජීව සේනසිංහ,215,331,138
SP_00023,2017-01-24,2017.0,ගරු දිෙන්ෂ් ගුණවර්ධන මහතා,215,174,236
SP_00024,2017-01-24,2017.0,ගරු රවී කරුණානායක මහතා,215,331,138
SP_00025,2017-01-25,2017.0,ගරු සී. බී. රත්නායක මහතා,213,141,246
SP_00026,2017-01-25,2017.0,ගරු වාසුදේව නානායක්කාර,213,141,246
SP_00027,2017-01-25,2017.0,ගරු සුනිල් හඳුන්නෙත්ති මහතා,213,141,246
SP_00028,2017-01-25,2017.0,ගරු අශෝක් අබේසිංහ මහතා,213,141,246
SP_00029,2017-01-25,2017.0,ගරු නලින් බණ්ඩාර ජයමහා මහතා,287,62,254
SP_00030,2017-01-25,2017.0,ගරු අනුර දිසානායක,-1,4,37
SP_00031,2017-01-25,2017.0,ගරු සී. බී. රත්නායක මහතා,102,4,37
SP_00032,2017-01-25,2017.0,ගරු රනිල් වික්‍රමසිංහ මහතා,102,4,315
SP_00033,2017-01-25,2017.0,ගරු රවී කරුණානායක මහතා,213,258,246
SP_00034,2017-01-25,2017.0,ගරු සී. බී. රත්නායක මහතා,213,258,246
SP_00035,2017-01-25,2017.0,ගරු රවී කරුණානායක මහතා,213,141,246
SP_00036,2017-01-25,2017.0,ගරු බන්දුල ගුණවර්ධන,213,258,246
SP_00037,2017-01-25,2017.0,ගරු අනුර දිසානායක,213,141,246
SP_00038,2017-01-25,2017.0,ගරු බන්දුල ගුණවර්ධන,213,258,246
SP_00039,2017-01-25,2017.0,ගරු අනුර දිසානායක,213,141,246
SP_00040,2017-01-25,2017.0,ගරු බන්දුල ගුණවර්ධන,213,258,246
SP_00041,2017-01-26,2017.0,ගරු බුද්ධික පතිරණ මහතා,-1,18,316
SP_00042,2017-01-26,2017.0,ගරු විමල් වීරවංශ මහතා,280,13,23
SP_00043,2017-01-26,2017.0,ගරු ෆයිසාල් කාසිම් මහතා,-1,3,70
SP_00044,2017-01-26,2017.0,ගරු (වෛද්‍ය) රමේෂ් පතිරණ මහතා,92,71,39
SP_00045,2017-01-26,2017.0,ගරු (වෛද්‍ය) රමේෂ් පතිරණ මහතා,35,150,321
SP_00046,2017-01-27,2017.0,ගයාන්ත කරුණාතිලක,208,255,13
SP_00047,2017-01-27,2017.0,ගරු වාසුදේව නානායක්කාර,150,296,120
SP_00048,2017-01-27,2017.0,තිලංග සුමතිපාල,9,217,42
SP_00049,2017-01-27,2017.0,ගයාන්ත කරුණාතිලක,208,255,13
SP_00050,2017-01-27,2017.0,ගයාන්ත කරුණාතිලක,150,296,120
SP_00051,2017-01-27,2017.0,ගරු වාසුදේව නානායක්කාර,150,296,120
SP_00052,2017-01-27,2017.0,අජිත් පී. පෙරේරා,9,217,42
SP_00053,2017-01-27,2017.0,විමල් වීරවංශ,9,217,42
SP_00054,2017-01-27,2017.0,බිමල් රත්නායක,213,141,246
SP_00055,2017-01-27,2017.0,තිලංග සුමතිපාල,9,217,42
SP_00056,2017-01-27,2017.0,රාජවරෝදියම් සම්බන්ධන්,-1,189,53
SP_00057,2017-01-27,2017.0,දිනේෂ් ගුණවර්ධන,9,217,42
SP_00058,2017-01-27,2017.0,ගරු දයාසිරි ජයසේකර,-1,30,130
SP_00059,2017-01-27,2017.0,ජෝන් අමරතුංග,-1,30,130
