K,cut_distance,next_merge_distance,merge_gap,selected_by_largest_gap,is_paper_n_macro,selected_by_threshold_0_002
20,0.0035479714,0.0037126995,0.0001647281,false,false,false
21,0.0033744428,0.0035479714,0.0001735286,false,false,false
22,0.0031546463,0.0033744428,0.0002197965,false,false,false
23,0.0031407991,0.0031546463,0.0000138472,false,false,false
24,0.0027939660,0.0031407991,0.0003468332,true,false,false
25,0.0026313757,0.0027939660,0.0001625903,false,false,false
26,0.0025372059,0.0026313757,0.0000941698,false,false,false
27,0.0024797374,0.0025372059,0.0000574685,false,false,false
28,0.0021977998,0.0024797374,0.0002819376,false,false,false
29,0.0020834825,0.0021977998,0.0001143174,false,false,false
30,0.0018677838,0.0020834825,0.0002156987,false,true,true
31,0.0018373241,0.0018677838,0.0000304597,false,false,false
32,0.0016574629,0.0018373241,0.0001798612,false,false,false
33,0.0016235790,0.0016574629,0.0000338839,false,false,false
34,0.0014944548,0.0016235790,0.0001291242,false,false,false
35,0.0014287204,0.0014944548,0.0000657344,false,false,false
36,0.0013979215,0.0014287204,0.0000307989,false,false,false
37,0.0012600880,0.0013979215,0.0001378335,false,false,false
38,0.0012589638,0.0012600880,0.0000011242,false,false,false
39,0.0012280553,0.0012589638,0.0000309085,false,false,false
40,0.0011854389,0.0012280553,0.0000426164,false,false,false
