micro_topic_id,speech_count,cumulative_count,cumulative_mass,retained
92,395,395,0.03126979,true
123,389,784,0.06206460,true
255,319,1103,0.08731792,true
155,309,1412,0.11177961,true
186,245,1657,0.13117479,true
22,229,1886,0.14930336,true
118,221,2107,0.16679861,true
93,209,2316,0.18334389,true
169,186,2502,0.19806840,true
76,180,2682,0.21231792,true
323,152,2834,0.22435085,true
50,120,2954,0.23385054,true
215,115,3069,0.24295440,true
101,113,3182,0.25189994,true
303,109,3291,0.26052882,true
83,107,3398,0.26899937,true
105,107,3505,0.27746992,true
154,106,3611,0.28586130,true
95,103,3714,0.29401520,true
317,100,3814,0.30193160,true
245,99,3913,0.30976884,true
66,94,4007,0.31721026,true
277,94,4101,0.32465168,true
16,90,4191,0.33177644,true
232,89,4280,0.33882204,true
308,88,4368,0.34578847,true
102,84,4452,0.35243825,true
143,84,4536,0.35908803,true
220,83,4619,0.36565864,true
268,76,4695,0.37167511,true
280,76,4771,0.37769158,true
284,76,4847,0.38370804,true
333,75,4922,0.38964535,true
24,74,4996,0.39550348,true
189,72,5068,0.40120329,true
200,70,5138,0.40674478,true
156,68,5206,0.41212793,true
71,66,5272,0.41735275,true
254,66,5338,0.42257758,true
162,64,5402,0.42764408,true
224,64,5466,0.43271058,true
80,62,5528,0.43761875,true
120,62,5590,0.44252692,true
193,62,5652,0.44743509,true
213,62,5714,0.45234326,true
44,60,5774,0.45709310,true
107,60,5834,0.46184294,true
131,59,5893,0.46651362,true
288,59,5952,0.47118429,true
49,58,6010,0.47577581,true
168,57,6067,0.48028816,true
197,57,6124,0.48480051,true
291,57,6181,0.48931286,true
125,55,6236,0.49366688,true
286,55,6291,0.49802090,true
129,54,6345,0.50229576,true
84,53,6398,0.50649145,true
1,52,6450,0.51060798,true
146,52,6502,0.51472451,true
216,52,6554,0.51884104,true
290,51,6605,0.52287840,true
234,50,6655,0.52683661,true
7,49,6704,0.53071564,true
74,48,6752,0.53451552,true
178,48,6800,0.53831539,true
320,47,6847,0.54203610,true
52,46,6893,0.54567764,true
127,46,6939,0.54931919,true
187,46,6985,0.55296073,true
251,46,7031,0.55660228,true
315,46,7077,0.56024383,true
176,45,7122,0.56380621,true
206,45,7167,0.56736859,true
263,45,7212,0.57093097,true
104,44,7256,0.57441419,true
203,44,7300,0.57789740,true
314,43,7343,0.58130146,true
106,42,7385,0.58462635,true
243,42,7427,0.58795123,true
262,42,7469,0.59127612,true
60,41,7510,0.59452185,true
64,41,7551,0.59776757,true
109,41,7592,0.60101330,true
